"Moment","Concepts","Agency","Social"
"I watched some funny videos online.","entertainment","yes","no"
"YESTERDAY WE WENT RESTAURANT WITH ALL MY FAMILY MEMBERS WITHOUT MISSING OUT ANYONE.IT WAS A UNFORGETTABLE MOMENT.SUCH A GREAT TIME THAT I SPEND ANYMORE.","food|family","yes","yes"
"My organization hosted a very successful event.","party","no","yes"
"GOING TO TOUR","vacation","yes","no"
"My boyfriend got me some bath bombs I'd been looking at at a store in the mall.","romance|shopping","no","yes"
"A cold rain after a week of hot, humid days.","weather","no","no"
"My wife told me she appreciate me checking in on how she is feeling every few nights.","romance","no","yes"
"Receiving a promotion at work after weeks of it being in limbo.","career","no","yes"
"Got an A on an exam, amazing feeling!","education|career","yes","no"
"My sister had her second baby, so I am an uncle again!","family","no","yes"
"My husband started putting a small note in my purse each morning before he leaves for work so the next time I open it, I'll be reminded of him.","family|career","no","yes"
"Found out about the cheap pizza hut buffet.","food","yes","no"
"My aunt got out of the hospital after dealing with a bladder infection.","family","no","yes"
"I passed all my university exams.","education","yes","no"
"After a whole week worrying about work related problems, they sorted themselves out without my having anything to do with it.","career","no","no"
"I spent time with my elderly Uncle who is in hospice and had a wonderful conversation for the entire afternoon","conversation","yes","yes"
"today i talked to my old friend on mobile (video call)","conversation|technology|entertainment","yes","yes"
"Saying good morning to my mom made me happy today.","family","yes","yes"
"I heard a friend's dog is doing better, she had a slipped disc in her neck and is happy again after her recovery.","animals","yes","yes"
"I joined a writing challenge that I've been interested in for years.","entertainment","yes","no"
"I learned today that I have received approval to take out a loan to by a new house, which is awesome.","shopping","no","no"
"I took my cat to the vet for his annual check up and he was pronounced fit and healthy with no problems.","animals","yes","yes"
"An event that made me happy recently was when my 4 year old daughter scored 9 goals in her soccer game.","family","no","yes"
"I played Grand Theft Auto V for a few hours.","entertainment","yes","no"
"I got a bonus on my other work!","career","yes","no"
"I spoke with my brother through text messages, we don't talk very much. ","conversation","yes","yes"
"I got hired on as a fellow for one of my professors.","career","no","yes"
"I had my annual performance evaluation this morning, I did well, it was lovely to hear compliments and appreciation.","career","no","yes"
"Seeing my son win his track relay race and his giant grin at the the finish line.","family","no","yes"
"Video chatting with a friend and setting up a plan to see her.","entertainment","yes","yes"
"We gave my daughter's teachers end of year gifts.","family|education","yes","yes"
"I ate the first mango of this season from my tree yesterday.","food","yes","no"
"I bought a plane ticket home to see my family.","family|vacation","yes","yes"
"I reconnected with a few old friends over beer & board games; it was particularly memorable if only because I hadn't previously seen them in over a year.","entertainment","yes","yes"
"I was ranked as one of the best employees at my job.","career","yes","yes"
"Waking up next to my girlfriend and giving her a kiss","romance","yes","yes"
"I fixed an error on my computer.","technology","yes","no"
"I finished a research and data project that took months to complete.","career","yes","no"
"I received a promotion at a job I love.","career","no","no"
"I catered a wedding for 100 people and the bride and groom were pleased, plus I got to see a number of my friends and also employ friends for the event.","party|conversation","yes","yes"
"I spent a few hours with my family doing yard work on our first beautiful day of Spring.","family","yes","yes"
"The company that makes my favorite sweatshirt is sending me a new one for free because my old one ripped.","shopping","yes","yes"
"I went on a nice evening walk around the neighborhood with my wife.","exercise","yes","yes"
"I had a party with some friends","party","yes","yes"
"I completed a really difficult workout that I wasn't sure I could even do.","exercise","yes","no"
"We went to a temple nearby my house and had a good time with my family.","religion","yes","yes"
"I have been hired to two separate well paying jobs and will soon be able to potentially purchase my own home.","career|shopping","yes","no"
"Two of my really good friends became engaged!","romance","no","yes"
"A happy moment in my life was in September last year when my long-distance Girlfriend, i meet her first time i am very happy feels,","romance","yes","yes"
"i had helped  a child to do his assignment.","education","yes","yes"
"I adopted a new cat from a local shelter.","animals","yes","yes"
"i got a new puppy.","animals","yes","no"
"I went for a run this morning in my home state of Maryland.","exercise","yes","no"
"I was happy for my daughter when she took a great vote for her french, she worked so hard for it, and was closed in her room above her books for days.","family","no","yes"
"Last weekend my wife and I spent a day at the beach close to our house.","family","yes","yes"
"My husband took care of some things around the house that needed doing for a long time.","family","no","yes"
"I had a glass of wine ALONE.","food","yes","no"
"Have a fresh baked cookie.","food","yes","no"
"I got to go to my favorite restaurant for dinner.","food","yes","no"
"I took my mother out to lunch and she was really excited about it.","family|food","yes","yes"
"I got to dogsit for my friend, and the dog is always so playful and enthusiastic that it's a treat to spend time with her.","animals","yes","yes"
"I was able to make up with my girlfriend after a huge fight.","romance","yes","yes"
"I practiced my drawing today for about 50 or so minutes.","education","yes","no"
"My team won the basketball game.","entertainment","no","yes"
"I was happy when I had dinner with my extended family.","food","yes","yes"
"My son rode on the lawn tractor with his grandpa.","family","no","yes"
"I went outing with my family and ate Chinese dishes.","family|food","yes","yes"
"What made me happy was telling my coworkers an April Fool's joke.","career","yes","yes"
"I aced a really hard test.","education","yes","no"
"I cleaned all of the mud off of my obstacle course racing gear yesterday.","exercise","yes","no"
"my mom birthday","family","no","yes"
"I worked hard on a project and I got a good grade on it as well as excellent and positive feedback.","career","yes","no"
"Going to church with my wife.","family|religion","yes","yes"
"I got a promotion at work, which also came with a pay raise and a new job title. ","career","yes","no"
"I got promoted at work and my salary was increased.","career","no","yes"
"I successfully communicated with my spouse about upcoming business opportunities that might interfere with our routine, thereby avoiding an altercation later.","conversation|career","yes","yes"
"I went to the new Afghani restaurant that reentry opened and it was fantastic.","food","yes","no"
"I lost 1 lb since my last weigh in.","exercise","yes","no"
"I had a great run this morning and I could really tell how much I've improved since I started.","exercise","yes","no"
"When my mother made a surprise visit bringing with her my favourite fruit cake and marzipan.","family","no","yes"
"I passed a very hard school test with almost 100% yesterday.","education","yes","no"
"I was in a good mood this morning when my son and I got to meet our friends for a play session.","family","yes","yes"
"An event that made me happy was when my boyfriend told me his family members asked about me at an event I could not attend.","conversation","no","yes"
"I came to my office at right time.","career","yes","no"
"I installed a traditional light switch to replace a malfunctioning switch.","technology","yes","no"
"I went to a restaurant and a live band there played some of my favorite songs unexpectedly.","entertainment","no","yes"
"I come back to me home from office and i see my newphew at home who came from austria after 3 years.","family","no","yes"
"Receiving a check closing an inactive bank account my grandfather had opened over 30 years earlier.","family","yes","yes"
"I travel to Dubai to shop","shopping|vacation","yes","no"
"My neighbor raises rabbits and I found out just a few hours ago, that I'm getting bunnies, 2 I think. ","animals","no","yes"
"I received a promotion and major raise at work.","career","yes","no"
"I was compensated exceptionally well for a short task and the money was deposited to my account in short order.","career","yes","no"
"I finished a project at work at the end of the day yesterday; it was my goal to finish before I left work.","career","yes","no"
"I made plans to see my nephew in a few days.","family","yes","yes"
"I went on a nice morning job.","exercise","yes","no"
"AM GOING TO TEMPLE","religion","yes","no"
"My nephew texted me just to say hello and that he loved me.","family|conversation","no","yes"
"Playing a volleyball tournament.","entertainment","yes","no"
"I am very happy when i got my first job","career","yes","no"
"My friend and I took a long walk.","exercise","yes","yes"
"Recently, I was promoted at my job and it was truly a long time coming.","career","yes","no"
"I love play Soccer with my Friends during the day","entertainment","yes","yes"
"I got an A on my math test.","education","yes","no"
"My dog licked my face.","animals","yes","yes"
"My manager inform me that I got promotion in my job.","career","yes","yes"
"My daughter said something funny about an old house being the first house ever built.","family|conversation","no","yes"
"My 8 month old daughter got her first tooth without any fussiness or fever.","family","no","yes"
"I passed my math test which was the deciding factor if I passed the class or not.","education","yes","no"
"Yesterday i went to comedy movie and enjoyed a lot and i was very happy because everyone enjoyed the movie.","entertainment","yes","no"
"I petted my dog on the head.","animals","yes","no"
"I studied a program to help me become more organized.","education","yes","no"
"I ate delicious fried chicken and french fries for dinner.","food","yes","no"
"My husband's brain surgery to correct an aneurysm was completely successful.","family","no","yes"
"I learned something new last week that is helping me every day.","education","yes","no"
"I left home","family","yes","no"
"I enjoyed time with friends at a party.","party","yes","yes"
"the happy event was my sister took my baby she is 3 and i have not had a break from her since dec so when my sister called and asked to take her for the night i got so excited and happy.","family","no","yes"
"I decided to purchase a new video game.","entertainment|technology","yes","no"
"Yesterday I saw the my favourite movie.","entertainment","yes","no"
"I bought a game that my best friend plays a lot of, so now we can play it together.","entertainment","yes","yes"
"Read a really fun story.","entertainment","yes","no"
"My new job With better salary","career","no","no"
"Today the ensemble that I teach completed the first run of our first tune on the field.","exercise|education","yes","no"
"I told my upper level students that I am pregnant.","education","yes","yes"
"I am happy when my family and I  make it home safely from a hectic drive through the city where I live.","family","no","yes"
"I was happy when the time change finally went forward, it meant that spring was here and the days were getting longer ","weather","no","no"
"I pet a kitten.","animals","yes","no"
"I made an amazing cordon bleu meal for my family and even my kids liked it so that made me happy.","family|food","yes","yes"
"My baby nephew came over to see me for the first time in a while, and as soon as he saw me, he yelled my name and ran across the room to give me a big hug and kiss.","family","no","yes"
"I came home from work travel.","career","yes","no"
"I WENT FOR SHOPPING AND GOD SOME GOOD OFFERS TODAY","shopping","yes","no"
"when i share a heart felt moment of joy and laughter with my family and friends.","family","yes","yes"
"I hung out and talked with co-workers.","conversation","yes","yes"
"My college had a successful premiere of music to the silent movie Metropolis two weeks ago.","entertainment","no","no"
"MY UNCLE IS WORKING IN  ABROAD WHEN HE IS HERE,IT'S THE QUALITY TIME THAT ALL PRECIOUS TO ME","family","no","yes"
"Going to the Braves game with my boyfriend made me very happy because we got to enjoy a great game, people watch and eat and drink great food. ","entertainment|food","yes","yes"
"My ex and I started talking again","conversation","yes","yes"
"I have been attending archery classes and it gives me utter happiness.","education","yes","no"
"I was able to get one step closer to opening a small business project.","career","yes","no"
"I am going to have nachos for dinner.","food","yes","no"
"When my sister, whom I love but who could drive the Pope crazy, left after a week-and-a-half visit.","family|vacation","no","yes"
"When I finally bought the apple watch Ive been wanting for a while now.","entertainment|shopping","yes","no"
"I was happy when I saw the excitement from my kid as she picked blueberries at a farm for the first time.","family","yes","yes"
"I found out my vacation was approved for  a 2 week long stay.","vacation","no","no"
"I got to see a new episode of my favorite show.","entertainment","yes","no"
"I was happy seven days ago when I celebrated my youngest son tenth birthday and my oldest son 21 birthday.","party|family","yes","yes"
"I recently went to the casino with friends and won five hundred dollars.","vacation|entertainment","yes","yes"
"My son told me a few jokes today.","family","no","yes"
"Our son was yelling my name this morning to get him out of his crib.","family","no","yes"
"My boyfriend brought me my favorite sandwich last night for dinner.","food","no","yes"
"My friends and I decided to go on a camping trip a week from tomorrow.","vacation","yes","yes"
"When my wife and I attended Wicked the Broadway show.","family","yes","yes"
"My wife threw me a surprise party for my 30th birthday.","party|family","no","yes"
"It rained so I didn't have to do a bunch of yard work.","weather","yes","no"
"I went on a hike with my family near my old college.","education","yes","yes"
"Watch a movie of terror at home, eating cotufas and snacks","entertainment|food","yes","no"
"I made a dinner that came out particularly good.","food","yes","no"
"When playing with one of my kids.","family","yes","yes"
"I scheduled a Father's Day trip to see the Chicago cubs play in Pittsburgh for Father's Day.","family|entertainment","yes","no"
"Yesterday I went for lunch with my friends n got one good news that one of my friend is above to get engage I was so happy .","romance","no","yes"
"I finished all of my work by the end of the day.","career","yes","no"
"I found out my niece is having a baby girl in December of this year!","romance","no","yes"
"MY 4TH MONTH ANNIVERSARY IN MAY 24","party","no","no"
"I finally got to watch the season finale of my favorite show.","entertainment","yes","no"
"My uncle who lives in italy invited me to spend holidays at home","family","no","yes"
"While I am lying on the sofa, My mother tickle me I was laughing.","family","no","yes"
"I started working out regularly and I can feel the difference.","exercise","yes","no"
"I went to see my brother who lived out of state.","family|vacation","yes","yes"
"I got an email from a friend I haven't heard from in a while, and I responded to him.","conversation|career","yes","yes"
"I ate a nice dinner with friends, without any issues.","food","yes","yes"
"Yesterday I got to meet my uncle who I hadn't seen in two years","family","yes","yes"
"I met my newborn nephew","family","yes","yes"
"I played a game with my friend at work.","entertainment","yes","yes"
"I had my girlfriend's family over for dinner yesterday at our new apartment.","romance|food|family","yes","yes"
"My daughter had her first sleepover where she actually stayed the entire night, without getting upset or scared, and she had the best time with her friends!","family","no","yes"
"Yesterday morning, I was really happy my earnings from a gift card website called Earn Honey was really high after I left it running on my computer over night.","technology","yes","no"
"I found an old shirt I had been looking for since nearly 3 weeks ago, which was one of my favorites.","shopping","yes","no"
"I finally got to have my lunch at work today after working non-stop","career|food","yes","no"
"I went to the mall and bought new running shoes.","shopping|exercise","yes","no"
"I finally figured out how to resize photos for my dad for his auctions on eBay on my newest computer.","technology|family","yes","yes"
"Binge watching X-Files with my girlfriend over last weekend.","romance|entertainment","yes","yes"
"I won a $25 gift certificate to target, one of my favorite stores!","shopping","yes","no"
"I took my spouse to the doctor with some concerns and found that there is nothing wrong with him.","vacation","yes","yes"
"I started packing for my overseas vacation.","vacation","yes","no"
"I made my own burritos for the whole family and they were a big hit.","family|food","yes","no"
"I received texts and conversed with my girlfriend.","romance|conversation","yes","yes"
"Our two day sunny streak ended with a night thunder storm and I spent it on the porch, enjoying the show.","weather|entertainment","yes","no"
"I made plans to go to travel to another country on vacation.","vacation","yes","no"
"I saw that my pregnant wife's round belly is starting to show.","family","no","yes"
"I worked hard at my volunteer position at the library and everyone who works there was really impressed with how much I accomplished.","career","yes","yes"
"watching my friend win a game of PUBG","entertainment","no","yes"
"I was happy today when I was able to get all the to do's on my list done early and had the rest of the evening to relax.","vacation","yes","no"
"Seeing my wife be increased in faith at the church service this Sunday that was a powerful word from the Lord that the church as a whole needs to hear.","religion","no","yes"
"Getting accepted into my state's selective leadership program, which was competitive, with a complete scholarship.","education","no","yes"
"I was complimented on my work at my place of employment.","career","yes","yes"
"I was really stressed out and instead of taking it out on my family I announced that I was going to go to the store to buy everyone ice cream.","food","yes","yes"
"We went to a blockbuster movie last week and my kid enjoyed the most.","entertainment|family","yes","yes"
"I was very happy when Kent has picked most of the furniture for his house based upon my suggestions.","family","no","yes"
"I visited my aunt who live in New York City, I stayed for several days and we went sightseeing.","family|vacation","yes","yes"
"I sent an updated W-4 to my employer updating my tax withholdings to have the government withhold LESS of my taxes each month!","career","yes","yes"
"I got a text message from a friend.","education","no","yes"
"I enjoyed a delicious dinner that was compatible with my diet and which tasted just like the version of it that is not compatible with my diet.","food","yes","yes"
"i got a good evaluation at work","career","yes","no"
"My favorite local cricket team was first to qualify in the final play offs in the domestic tournament","entertainment","no","yes"
"I got my new test system up and running at work.","career","yes","no"
"A musician I love announced that he will be playing a live show in my city in August.","entertainment","no","yes"
"I was happy when I had a relaxing moment after work and put on a facemask and watched tv.","entertainment","yes","yes"
"I went for shopping yesterday.","shopping","yes","no"
"Going to school to get my daughters grades which had great results.","education|family","yes","no"
"The amazing moment realizing how happy I am with my girlfriend on our 1 year anniversary.","romance","yes","yes"
"Another event that made me happy was when the cable installer came and installed our cable.","family","no","yes"
"While listing to an old playlist of music I made I found a song that I used to love.","entertainment","yes","no"
"Just the other day was happy to see my son make the summer swim team.","family|exercise","yes","yes"
"My husband brought us dinner home and I didn't have to cook for the family.","family|food|romance","no","yes"
"My husband and I were able to go to out to lunch together today.","food|family","yes","yes"
"My spouse made me a great dinner","food|family","no","yes"
"watched our neighbors dog for an afternoon, I think we played most of the time. ","animals","yes","yes"
"I found the right carpet cleaner and I was finally able to rid of the cat pee smell in the house, which was a relief. ","animals","yes","no"
"I got food from my favorite japanese restaurant.","food","yes","no"
"I waited on a very sweet elderly couple at work and received a nice tip.","career","yes","yes"
"Bought my girlfriend some clothes that made her very happy.","shopping","yes","yes"
"My favorite MLB player had a good game last night and has hopefully broken the terrible curse that seemingly took possession of him last season when he couldn't hit the ball to save his life.","entertainment","no","yes"
"Meeting my girlfriend  two months ago.","romance","no","yes"
"One of my friend shared a funny video and I see it.","entertainment","no","yes"
"Last night it made me happy when my son selflessly shared his snack with his sister.","family","no","yes"
"I finally finished the long-term task for my job.","career","yes","no"
"My got recognition for my work in office.","career","no","yes"
"My son gave my awesome cuddles while we watched Sesame Street.","family","yes","yes"
"Yesterday on mturk is my best day i almost made $15.","career","yes","no"
"I was happy when I finished a project at work that was quite difficult.","career","yes","no"
"I got steak nachos for dinner today!","food","yes","no"
"Visited with my younger son.","family","yes","yes"
"I was allowed to pet a stranger's dog for a long time last week.","animals","yes","yes"
"It made me happy when my family came over a few weeks ago and I made homemade pizza and toasted ravioli.","food|family","yes","yes"
"Having udon for dinner.","family","yes","no"
"My son finally figured out how to crawl correctly and not just scoot on his stomach.","family","no","yes"
"It's warm enough to use the air conditioner today.","weather","no","no"
"A C-level executive spoke to my team and then came by to tell me I was doing a good job managing them.","career","no","yes"
"We got some free Angel Food cake and it was delicious.","food","no","no"
"The warriors made it to the second round of playoffs.","entertainment","yes","yes"
"I was elated to have discovered an SEO technique that I was not fully applying on my blog.","technology","yes","no"
"I booked a good lead at work and got a bonus.","career","yes","yes"
"Wrote a simple but touching poem and put guitar to it.","education","yes","no"
"Purchased a fully automatic  washing machine  of my choice.","shopping","yes","no"
"Received a package of snacks in the mail from a friend in a foreign country.","food","no","yes"
"Having my son come to me and tell me he wanted to make dinner with me.","family|food","no","yes"
"I finished my first semester of Pharmacy school","education","yes","no"
"I officially finished the majority of the work for this school year so that I can graduate.","education","yes","no"
"I finished a bunch of nagging tasks this weekend for work.","career","yes","no"
"I made it to church on time this morning even though I was running 10 minutes behind when I left the house.","exercise","yes","no"
"I purchased some kitchen utensils.","shopping","yes","no"
"Taking my dogs to the vet for a checkup made me happy.","animals","yes","yes"
"I was very happy when I got up this morning and both my kids were still asleep so I could relax and drink some coffee!","family","yes","yes"
"It rained so I didn't have to mow grass.","weather","no","no"
"Spring flowers began to bloom everywhere.","weather","no","no"
"after long days i spoke with my childhood friend.","conversation","yes","yes"
"MY DAD PRESENTED ME A NEW SMART PHONE SURPRISINGLY ON MY BIRTHDAY I WAS SO EXITED, I AN'S FORGET TAT DAY IN MY LIFE, THAT WAS MY FIRST SURPRISED GIVEN BY MY DAD ","party|family","no","yes"
"An event that made me happy in the last three months was getting a new manager at work because my new manager presents more challenges which makes my job more fulfilling.","career","no","yes"
"I was given today off from work, with pay!","career","yes","no"
"Having a nice chat with my boss and feeling like they think I am a natural leader.","career|conversation","yes","yes"
"Rent a vacation home for Holy Week","vacation","yes","no"
"I got some money for my birthday, which I plan to use to fund a trip to visit my girlfriend.","vacation","yes","yes"
"I caught up on my favorite shows","entertainment","yes","no"
"I ate Philly cheese steak with fries and a Dr. Pepper","food","yes","no"
"I sold an item on eBay yesterday that made me happy.","shopping","yes","no"
"My team won the match in IPL","entertainment","yes","yes"
"A video game I had been looking forward to, Outlast 2, came out.","entertainment","no","no"
"I went to a karaoke last night","food","yes","yes"
"My husband got me 5 new pairs of leggings that I had be wanting.","family|shopping","no","yes"
"Got to work early and was able to catch up and get some extra work done.","career","yes","no"
"My wife bought me a pair of shorts that I've been wanting to get.","shopping|family","no","yes"
"Got a new job","career","yes","no"
"Talking to my significant other.","conversation","yes","yes"
"Reading, cuddling, and napping with my son yesterday made me happy.","family","yes","yes"
"I tried a watermelon milkshake for the first time and enjoyed it very much.","food","yes","no"
"Finally getting to the day that my mom was done with her cancer treatments.","family","no","yes"
"I made low fat banana bread.","food","yes","no"
"I found an old VCR I used to use and was able to fix it just for fun.","technology","yes","no"
"Successfully started a diet.","exercise","yes","no"
"I'm helping my sister lose weight and I've helped her lose 5 pounds in less than a week, so far.","exercise|family","yes","yes"
"My wife and I finally agreed and decided upon a location to vacation in and a house to rent for the vacation.","vacation","no","yes"
"My wife made pizza for dinner.","food","no","yes"
"I saw the progress report of a coworker that I have been helping out and it looked fantastic, which made me very happy.","career","no","yes"
"Two weeks ago I got accepted for my first house and I'm scheduled to move in July.","family","yes","yes"
"When i got my new car.","shopping","yes","no"
"In these moments I am still happy after this week, to continue advancing in my projects and to enjoy next to my family of the life of a very healthy way.","family","yes","yes"
"My husband told me the spaghetti i made was the best he had ever had.","romance","no","yes"
"When I ran into a coworker who I hadn't seen in awhile and am fond of.","conversation","no","yes"
"I was doing my daily tasks to maintain our home and yard, pets care and my husband's laundry, when he interrupted me to spontaneously express his appreciation for me; he's not that expressive usually.","family","yes","yes"
"My son was accepted into his school's math honor society.","education","no","yes"
"I told my son a story last night with his feltboard - he asked me for it specifically.","family","yes","yes"
"I found a Youtube channel filled with really amazing undiscovered music.","entertainment","yes","yes"
"A FEW DAYS BACK ON SUNDAY I AND MY HUSBAND SPEND WHOLE DAY TOGETHER WATCHING OUR WEDDING VIDEO AND RECALLING THOSE MEMORIES WHICH MEANS A LOT IN OUR LIFE WHICH DEVELOP A BOND OF LOVE AND TRUST WHICH WE FELL IN OUR EVERYDAY LIFE IN FACT I THINK A PERSON SHOULD DO SOMETHING LIKE THIS SO THAT RELATIONSHIP BECOMES STRONG","romance|family|entertainment","yes","yes"
"I got to hang out with friends and play board games.","entertainment","yes","yes"
"MY SISTER BUY A ANDROID  CELL PHONE WHEN SHE SHOWED ME THE PHONE   I WAS SURPRISED.","technology","no","yes"
"Kissing my Girl friend","romance","yes","yes"
"We received a prophetic word at a meeting that was very encouraging.","career","no","yes"
"My mother texted me a photo of my kitten hanging her paws off the top of the recliner in the den.","family|animals","no","yes"
"Spending the weekend with my cousin and her new baby.","family","yes","yes"
"I got off of work.","career","yes","no"
"I purchased a strength band to do some workouts at home and found a really good one after weeks of searching.","shopping|exercise","yes","no"
"I had dinner.","food","yes","no"
"Having a delicious breakfast I made: egg white omelette with peppers, tomatoes and cheese","food","yes","no"
"Another event that made me happy is that I was able to talk to my girlfriend who is on the other side of the country right now.","technology|conversation","yes","yes"
"We had a softball game between co-workers that lasted four hours.","entertainment","no","yes"
"I bought fresh fish from the market at a very low price and it made me happy as the fish was very tasty","food|shopping","yes","no"
"I started listening to an album that I hadn't heard in few years, and it was like listening to it for the first time as far as how much I enjoyed the music.","entertainment","yes","no"
"I finally received a copy of the video game Doom for the PC that I have been waiting for almost a week and got to finally play it.","entertainment","yes","no"
"Having dinner with a friend a hadn't seen in several months.","food","yes","yes"
"I slept for a long time after a hard day of work at office.","career","yes","no"
"I was very happy when I received flowers as a gift from my spouse and it was unexpected.","career","no","yes"
"It was my grandma's 90th birthday.","party|family","no","yes"
"When my child told me she wanted to spend the day with me instead of going to daycare.","vacation|family","no","yes"
"My sister finally finished laminating her floor so I am done having to drive 45 miles to help her with it for free.","family","no","yes"
"I watched TV after a long, busy work day.","entertainment|career","yes","no"
"The commander of our police station gave me a ""challenge coin"" for my extra work at the police department. ","career","no","yes"
"My wife and I got a time to to eat dinner, and no kids. ","food|family|romance","no","yes"
"I wrote an excellent blog post that I was proud of.","education","yes","no"
"I have received a bonus payment with my salary as a gift from higher officials.","career","no","yes"
"My girlfriend and I got to relax once my stepson was asleep, was great to see her finally get to unwind with Greys Anatomy.","romance","no","yes"
"While I'm lying down on the sofa, my mother tickle me I was laughing  ","family","no","yes"
"My mother regaining her ability to walk and squeeze with her right hand after it was affected by a stroke made me very happy.","family","no","yes"
"I was able to identify a problem and work right away and pass along the appropriate info to my colleagues so we could get a new module delivered to clients this month.","career","yes","yes"
"I went to see my Aunt","family","yes","yes"
"My kid got good grades on his report card.","education|family","no","yes"
"It made me very happy to see an NBA game last night.","entertainment","yes","no"
"When I watched more Big Bang Theory.","entertainment","yes","no"
"i m really happy this survey is back and is giving me reasonable amount to talk about my feelings .and i'm watching the 100 serial it is made me very happy and im addicted to it.","conversation","yes","no"
"Starting phase II of my workout routine which I am better suited to show my strengths in","exercise","yes","no"
"I weighted myself on the scale and saw a move in the right direction.","exercise","yes","no"
"I heard my little daughter laughing.","family","yes","yes"
"Got to pick up my daughter and play with her outside for a bit before dinner.","family|food","yes","yes"
"My husband held me close and gave me a kiss while we were standing on the sidewalk and a woman was walking past.","romance|family","no","yes"
"My father agreed to pay tuition for private school for my daughter.","family|education","no","yes"
"I grilled some barbecue chicken and it didn't stick to the grill this time.","food","yes","no"
"I talked about gardening and ordering seeds with my elderly mother.","conversation|family","yes","yes"
"Last night I played a computer video game that I hadn't played since college, and it took me on a nostalgic trip.","entertainment|technology","yes","no"
"My cat was being cute and I got some really good photos for my social media account.","animals","yes","yes"
"I got my test grades back today and I got a B on my test.","education","no","no"
"Last weekend I got to spend some quality alone time in my home when my sister left for a 5 day work trip.","vacation","yes","yes"
"I had excellent dinner","food","yes","no"
"A dog gave me a hug.","animals|family","no","no"
"I received 100% on my final paper for a 400 level course.","education","yes","no"
"Skating is an additional event I did that made me happy in the past 24 hours.","family","yes","no"
"Surprising my daughter with a sandbox and dinosaur ""fossil"" play toys so she could play paleontologist. ","family|entertainment","yes","yes"
"A cashier at the store recognized me and told me she was happy to see me because she hadn't seen me shopping there in a while.","shopping","yes","yes"
"Watching, HBO, The leftovers.","entertainment","yes","no"
"I am happy that my child is awarded as a young scientist.","education|family","no","yes"
"I went to Victoria Secret and got new underwear on sale!","shopping","yes","no"
"Meeting my idol, Mary Beard, and being able to talk to her afterwards, and get her advice! ","conversation","no","yes"
"I was able to root my holy basil trimmings.","food","yes","no"
"The day off from work was rather relaxing and it was warm outside.","weather","yes","no"
"Lunch at Cherry's diner with boyfriend","food|romance","yes","yes"
"Took the dogs for a walk.","animals","yes","no"
"I got a new pair of foster cats, and they are very sweet.","animals","yes","no"
"I gave my niece a birthday present that I made for her.","party","yes","yes"
"I bought some new hand sanitizers that smell really good.","shopping","yes","no"
